| ABSTR_RAW                      | ABSTR_TOK                      | ABSTR_UPPER                    | AFFIL                                                                            | AR      | ASJC                           | AUTHID                                                                           | AUTHKW_NORM                    | AUTHKW_RAW                     | AUTHKW_TOK                     | AUTH_FIRST       | AUTH_FULL_NAME                 | AUTH_NORM                      | AUTH_RAW                       | AUTH_WITH_AFFIL                                                                  | C3                             |   CA | CL              | CONCEPT_NORM                   | CONCEPT_RAW                    | CORRESPOND_ADDR                | CT                             | CTRY                           | CTRY_FIRST     | CTRY_ISO3          | CTRY_ISO3_FIRST   | CY              | DA         | DATABASE   | DATE       | DESCRIPTOR_NORM                | DESCRIPTOR_RAW                 | DL                             | DOCTYPE                    | DOI                            | EA       | EID                 | EMAIL                          | FP                             | FUND_DET                       | FUND_TXT                       | GA    | GCR_WOS_FORMAT                 |   GCS |   HC |   HO |   HP | IDXKW_NORM                     | IDXKW_RAW                      | IDXKW_TOK                      | ISSN      | ISSNE     | ISSUE   | KW_NORM                        | KW_TOK                         | LANG    | LCR_WOS_FORMAT                 |   LCS | NP_ABSTR_RAW                   | NP_RAW                         | NP_SPACY                       | NP_TEXTBLOB                    | NP_TITLE_RAW                   |   N_AUTH |   N_GCR |   N_LCR | OA                             | ORCID                                                                            | ORG                                                                              | ORG_FIRST                      |   PG_COUNT |   PG_FIRST |   PG_LAST |            PM | PN   | PUBLISHER                      | PUBLISHER_ADDRESS              | PUBLISHER_CITY   | PUBTYPE   | REC_ID                                             |   REC_NO | REC_SHORT_NAME        | REGION                | SI   | SP                    | SRC                            | SRC_ISO4                       | SRC_J9               |   SU | SUBREGION                      | TITLE_RAW                      | TITLE_TOK                      | TITLE_UPPER                    |   VOL | WE                             | WORD_NORM                      | WORD_RAW                       | WOS_SC                         |   WOS_U1 |   WOS_U2 |   WOS_Z9 |   YEAR |
| The City of Cape Town (CoCT),  | the city of cape town ( coct ) | the_city_of CAPE_TOWN ( COCT ) | Stellenbosch Univ, African Res Univ Alliance ARUA, Ctr Excellence Energy CoE, Pr | 173289  | Environmental Sciences         | ; Daher, Bassel/X-5166-2019; Goosen, NJ/AAN-8354-2020                            | wef nexus; system dynamics mod | wef nexus; system dynamics mod | wef nexus; system dynamics mod | Egieya JM        | J. M. Egieya; Y. Parker; V. S. | Egieya JM; Parker Y; Hofmann V | Egieya JM; Parker Y; Hofmann V | [Egieya, J. M.; Parker, Y.; Goosen, N. J.] Stellenbosch Univ, African Res Univ A | Stellenbosch University; Texas |  nan | nan             | accessible and stored water; a | accessible and stored water; a | Egieya, JM (corresponding auth | nan                            | South Africa; United States    | South Africa   | USA; ZAF           | ZAF               | nan             | 2026-04-25 | WoS        | JUL 15     | accessible; accessible and sto | accessible; accessible and sto | http://dx.doi.org/10.1016/j.sc | Article                    | 10.1016/j.scitotenv.2024.17328 | MAY 2024 | WOS:001264197500003 | jafaru.egieya@tamu.edu         | Water Research Commission; Ste | Water Research Commission [CP  | This work was supported by the | XU5G4 | AgriFarms, 2023, The Western C |     5 |  nan |  nan |  nan | nan                            | nan                            | nan                            | 0048-9697 | 1879-1026 | nan     | climate-change; simulation; sy | climate-change; simulation; sy | English | Purwanto A, 2021, SUSTAIN PROD |     0 | cape town; coct; south africa; | accessible and stored water; a | 20 _year modeling period; acce | agricultural purposes; availab | predictive simulation; water e |        6 |      42 |       1 | nan                            | Parker, Yumna/0000-0001-7468-9195;                                               | COLL STN; STELLENBOSCH UNIV; TEX A&M UNIV                                        | STELLENBOSCH UNIV              |         25 |        nan |       nan |   3.87632e+07 | nan  | ELSEVIER                       | RADARWEG 29, 1043 NX AMSTERDAM | AMSTERDAM        | J         | Egieya JM, 2024, SCI ENV, V934, DOI 10.1016/j.scit |       21 | Egieya JM 2024        | Africa; Americas      | nan  | nan                   | SCIENCE OF THE TOTAL ENVIRONME | SCI ENV                        | SCI TOTAL ENVIRON    |  nan | Northern America; Sub-Saharan  | Predictive simulation of the w | predictive simulation of the w | PREDICTIVE_SIMULATION of the W |   934 | Science Citation Index Expande | accessible; accounting; africa | accessible; accounting; africa | Environmental Sciences & Ecolo |        5 |       45 |        6 |   2024 |
| Problems with water resources  | problems with water resources  | PROBLEMS with WATER_RESOURCES  | Beijing Normal Univ, Sch Environm, Key Lab Water & Sediment Sci, Minist Educ, Be | nan     | Engineering, Civil; Geoscience | nan                                                                              | system dynamics model; water r | system dynamics model; water r | system dynamics model; water r | Li Z             | Zhi Li; Chunhui Li; Xuan Wang; | Li Z; Li CH; Wang X; Peng C; C | Li Z; Li CH; Wang X; Peng C; C | [Li, Zhi; Li, Chunhui; Wang, Xuan; Peng, Cong; Cai, Yanpeng; Huang, Weichen] Bei | Beijing Normal University; Bei |  nan | nan             | basin; boundaries; china; citi | basin; boundaries; china; citi | Li, CH (corresponding author), | nan                            | China                          | China          | CHN                | CHN               | nan             | 2026-04-25 | WoS        | JAN        | allocation; approach; basin; b | allocation; approach; basin; b | http://dx.doi.org/10.1016/j.jh | Article                    | 10.1016/j.jhydrol.2017.11.007  | nan      | WOS:000423641300005 | chunhuili@bnu.edu.cn           | National Key Research and Deve | National Key Research and Deve | This research was supported by | FU1WX | [Anonymous], COMMUNICATION; Ar |    40 |  nan |  nan |  nan | early warning system; manageme | early warning system; manageme | early warning system; manageme | 0022-1694 | 1879-2707 | nan     | basin; early warning system; m | basin; early warning system; m | English | nan                            |     2 | problems; water resources; sus | boundaries; china; cities; cit | boundaries; china; cities; cit | decision makers; dynamics; eco | hybrid system dynamics; optimi |        6 |      48 |     nan | nan                            | Chunhui, Li/0000-0003-0067-4112                                                  | BEIJING NORM UNIV                                                                | BEIJING NORM UNIV              |         11 |         50 |        60 | nan           | nan  | ELSEVIER                       | RADARWEG 29, 1043 NX AMSTERDAM | AMSTERDAM        | J         | Li Z, 2018, J HYDROL, V556, P50, DOI 10.1016/j.jhy |       22 | Li Z 2018             | Asia                  | nan  | nan                   | JOURNAL OF HYDROLOGY           | J HYDROL                       | J HYDROL             |  nan | Eastern Asia                   | A hybrid system dynamics and o | a hybrid system dynamics and o | a HYBRID_SYSTEM_DYNAMICS and O |   556 | Science Citation Index Expande | allocation; approach; basin; b | allocation; approach; basin; b | Engineering; Geology; Water Re |        3 |      172 |       45 |   2018 |
| The informal sector is the bac | the informal sector is the bac | the INFORMAL_SECTOR is the BAC | Indian Inst Technol Delhi, Dept Mech Engn, New Delhi 110016, India; Indian Inst  | e09993  | Multidisciplinary Sciences     | Kala, Kaveri/HZJ-4196-2023; , Sushil/M-7320-2019                                 | informal waste management; cir | informal waste management; cir | informal waste management; cir | Kala K           | Kaveri Kala; Nomesh B. Bolia   | Kala K; Bolia NB               | Kala K; Bolia NB               | [Kala, Kaveri; Bolia, Nomesh B.] Indian Inst Technol Delhi, Dept Mech Engn, New  | Indian Institute of Technology |  nan | nan             | alarming increase; amounts; an | alarming increase; amounts; an | Kala, K (corresponding author) | nan                            | India                          | India          | IND                | IND               | nan             | 2026-04-25 | WoS        | AUG        | activity; alarming; alarming i | activity; alarming; alarming i | http://dx.doi.org/10.1016/j.he | Article                    | 10.1016/j.heliyon.2022.e09993  | AUG 2022 | WOS:000843541900017 | kala.kaveri6@gmail.com         | nan                            | nan                            | nan                            | 3Y2ER | Ahsan A., 2014, CHINESE J ENG, |    23 |  nan |  nan |  nan | nan                            | nan                            | nan                            | nan       | 2405-8440 | 8       | circular economy; informal was | circular economy; informal was | English | nan                            |     0 | informal sector; backbone; sus | alarming increase; amounts; an | 100 percent; 30 years; 39 perc | creates unjust competition; de | analysis; informal waste manag |        2 |      36 |     nan | Green Submitted, gold          | nan                                                                              | [UNKNOWN]                                                                        | [UNKNOWN]                      |         11 |        nan |       nan |   3.5992e+07  | nan  | CELL PRESS                     | 50 HAMPSHIRE ST, FLOOR 5, CAMB | CAMBRIDGE        | J         | Kala K, 2022, HELIYON, V8, DOI 10.1016/j.heliyon.2 |       23 | Kala K 2022           | Asia                  | nan  | nan                   | HELIYON                        | HELIYON                        | HELIYON              |  nan | Southern Asia                  | Analysis of informal waste man | analysis of informal waste man | ANALYSIS of INFORMAL_WASTE_MAN |     8 | Science Citation Index Expande | activity; alarming; amounts; a | activity; alarming; amounts; a | Science & Technology - Other T |        5 |       48 |       28 |   2022 |
| Haze is a pollution phenomenon | haze is a pollution phenomenon | HAZE is a POLLUTION_PHENOMENON | Beijing Normal Univ, Fac Geog Sci, Sch Nat Resources, Beijing, Peoples R China   | 1400717 | Environmental Sciences         | nan                                                                              | system dynamics model; combina | system dynamics model; combina | system dynamics model; combina | Lv FR            | Furong Lv; Yunjing Lu; Haiping | Lv FR; Lu YJ; Tang HP          | Lv FR; Lu YJ; Tang HP          | [Lv, Furong; Lu, Yunjing; Tang, Haiping] Beijing Normal Univ, Fac Geog Sci, Sch  | Beijing Normal University      |  nan | nan             | air pollution; air quality; be | air pollution; air quality; be | Tang, HP (corresponding author | nan                            | China                          | China          | CHN                | CHN               | nan             | 2026-04-25 | WoS        | JUN 11     | activities; air; air pollution | activities; air; air pollution | http://dx.doi.org/10.3389/fenv | Article                    | 10.3389/fenvs.2024.1400717     | nan      | WOS:001253430400001 | tanghp@bnu.edu.cn              | Second Tibetan Plateau Scienti | Second Tibetan Plateau Scienti | The author(s) declare that fin | WF4A5 | Anderies JM, 2015, B MATH BIOL |     2 |  nan |  nan |  nan | air pollution; influential fac | air-pollution; influential fac | air pollution; influential fac | nan       | 2296-665X | nan     | air pollution; china; combinat | air pollution; china; combinat | English | Jia SW, 2019, ENERG POLICY, V1 |     0 | haze; pollution phenomenon; no | air quality; beijing; beijing  | air quality; beijing; beijing_ | air quality; beijing_tianjin_h | haze management; system dynami |        3 |      68 |       1 | Green Submitted, gold          | lv, furong/0000-0002-1791-9879                                                   | BEIJING NORM UNIV                                                                | BEIJING NORM UNIV              |         14 |        nan |       nan | nan           | nan  | FRONTIERS MEDIA SA             | AVENUE DU TRIBUNAL FEDERAL 34, | LAUSANNE         | J         | Lv FR, 2024, ENV SCI, V12, DOI 10.3389/fenvs.2024. |       24 | Lv FR 2024            | Asia                  | nan  | nan                   | FRONTIERS IN ENVIRONMENTAL SCI | ENV SCI                        | FRONT ENV SCI-SWITZ  |  nan | Eastern Asia                   | Simulating the effect of haze  | simulating the effect of haze  | simulating the_effect_of HAZE_ |    12 | Science Citation Index Expande | activities; air; approach; bei | activities; air; approach; bei | Environmental Sciences & Ecolo |        5 |       34 |        2 |   2024 |
| The fundamental requirements o | the fundamental requirements o | the FUNDAMENTAL_REQUIREMENTS o | Jadavpur Univ, Environm Engn Div, Dept Civil Engn, Kolkata 700032, India; Jessor | nan     | Green & Sustainable Science &  | Chatterjee, Debasish/N-2943-2019                                                 | system dynamics; simulation; e | system dynamics; simulation; e | system dynamics; simulation; e | Dasgupta D       | Dipsikha Dasgupta; Anupam Debs | Dasgupta D; Debsarkar A; Hazra | Dasgupta D; Debsarkar A; Hazra | [Dasgupta, Dipsikha; Debsarkar, Anupam; Hazra, Tumpa] Jadavpur Univ, Environm En | Jadavpur University; Kalyani U |  nan | nan             | base year; contamination; cont | base year; contamination; cont | Debsarkar, A (corresponding au | nan                            | Bangladesh; India              | India          | BGD; IND           | IND               | nan             | 2026-04-25 | WoS        | AUG        | analysis; appliances; approach | analysis; appliances; approach | http://dx.doi.org/10.1007/s106 | Article                    | 10.1007/s10668-016-9815-6      | nan      | WOS:000405613200021 | anupamju1972@gmail.com         | nan                            | nan                            | nan                            | FA7GK | Anand S, 2005, ENVIRON INT, V3 |    38 |  nan |  nan |  nan | electronic waste; management;  | electronic waste; management;  | electronic waste; management;  | 1387-585X | 1573-2975 | 4       | contamination; e-waste generat | contamination; e-waste generat | English | nan                            |     2 | fundamental requirements; e wa | base year; control; decade; de | base year; decade; delineation | base year; components; disposa | scenario; future e waste; gene |        6 |      42 |     nan | nan                            | nan                                                                              | JADAVPUR UNIV; JESSORE UNIV SCI & TECHNOL; UNIV KALYANI; [UNKNOWN]               | JADAVPUR UNIV                  |         15 |       1473 |      1487 | nan           | nan  | SPRINGER                       | VAN GODEWIJCKSTRAAT 30, 3311 G | DORDRECHT        | J         | Dasgupta D, 2017, ENVIRON DEV SUSTAIN, V19, P1473, |       25 | Dasgupta D 2017       | Asia                  | nan  | nan                   | ENVIRONMENT DEVELOPMENT AND SU | ENV DEV SUSTAIN                | ENVIRON DEV SUSTAIN  |  nan | Southern Asia                  | Scenario of future e-waste gen | scenario of future e_waste gen | SCENARIO of FUTURE_E_WASTE GEN |    19 | Science Citation Index Expande | analysis; appliances; approach | analysis; appliances; approach | Science & Technology - Other T |        2 |       73 |       44 |   2017 |
| The worldwide economic shock c | the worldwide economic shock c | the WORLDWIDE_ECONOMIC_SHOCK c | Banaras Hindu Univ, Indian Inst Technol, Dept Mech Engn, Varanasi, India         | 100090  | Energy & Fuels; Engineering, P | nan                                                                              | oil and gas industry; resilien | oil and gas industry; resilien | oil and gas industry; resilien | Raj A            | Ayush Raj; Bhupendra Sunil Mal | Raj A; Mali BS; Kumar B; Sen S | Raj A; Mali BS; Kumar B; Sen S | [Raj, Ayush; Mali, Bhupendra Sunil; Kumar, Bhuvnesh; Sen Singh, Chandra; Nainawa | Banaras Hindu University (BHU) |  nan | nan             | affected areas; all countries; | affected areas; all countries; | Mali, BS (corresponding author | nan                            | India                          | India          | IND                | IND               | nan             | 2026-04-25 | WoS        | SEP        | adjustment; affected; affected | adjustment; affected; affected | http://dx.doi.org/10.1016/j.up | Article                    | 10.1016/j.upstre.2023.100090   | JUN 2023 | WOS:001035655700001 | bhupendra.sunilmali.mec17@itbh | nan                            | nan                            | nan                            | N2VQ1 | [Anonymous], REF ART WIK; [Ano |     3 |  nan |  nan |  nan | products                       | products                       | products                       | 2666-2604 | nan       | nan     | covid-19 pandemic; oil and gas | covid-19 pandemic; oil and gas | English | nan                            |     1 | worldwide economic shock; outb | affected areas; all countries; | affected areas; all countries; | areas; comparative study; comp | system dynamics approach; oil  |        5 |      47 |     nan | Green Submitted, hybrid        | nan                                                                              | BANARAS HINDU UNIV                                                               | BANARAS HINDU UNIV             |         13 |        nan |       nan | nan           | nan  | ELSEVIER                       | RADARWEG 29, 1043 NX AMSTERDAM | AMSTERDAM        | J         | Raj A, 2023, UPSTREAM OIL GAS TEC, V11, DOI 10.101 |       26 | Raj A 2023            | Asia                  | nan  | nan                   | UPSTREAM OIL AND GAS TECHNOLOG | UPSTREAM OIL GAS TECHNOL       | UPSTREAM OIL GAS TEC |  nan | Southern Asia                  | System Dynamics Approach to Ev | system dynamics approach to ev | SYSTEM_DYNAMICS_APPROACH to_ev |    11 | Emerging Sources Citation Inde | adjustment; affected; approach | adjustment; affected; approach | Energy & Fuels; Engineering    |        0 |       15 |        3 |   2023 |
| The process of planning and ev | the process of planning and ev | the_process_of PLANNING and ev | IHE Delft, Inst Water Educ, Land & Water Management Dept, POB 3015, NL-2601 DA D | nan     | Green & Sustainable Science &  | ; Susnik, Janez/T-6303-2017; de Fraiture, Charlotte/E-3458-2012                  | system dynamics; water-energy- | system dynamics; water-energy- | system dynamics; water-energy- | Purwanto A       | Aries Purwanto; Janez Susnik;  | Purwanto A; Susnik J; Suryadi  | Purwanto A; Susnik J; Suryadi  | [Purwanto, Aries; Susnik, Janez; Suryadi, F. X.; de Fraiture, Charlotte] IHE Del | IHE Delft Institute for Water  |  nan | nan             | agricultural land conversion r | agricultural land conversion r | Purwanto, A (corresponding aut | nan                            | Netherlands                    | Netherlands    | NLD                | NLD               | nan             | 2026-04-25 | WoS        | JAN        | agricultural; agricultural lan | agricultural; agricultural lan | http://dx.doi.org/10.1016/j.sp | Article                    | 10.1016/j.spc.2020.08.009      | nan      | WOS:000608159500015 | a.purwanto@un-ihe.org          | LPDP (Indonesia Endowment Fund | LPDP (Indonesia Endowment Fund | Y AP gratefully acknowledges L | PS8FJ | [Anonymous], 2015, Energy and  |    61 |  nan |  nan |  nan | system dynamics approach; mana | system dynamics approach; mana | system dynamics approach; mana | 2352-5509 | nan       | nan     | evaluation and planning; indon | evaluation and planning; indon | English | nan                            |     2 | planning; local development; c | agricultural land conversion r | artificial ponds; assessment;  | agricultural land conversion r | quantitative simulation; secur |        4 |      44 |     nan | nan                            | Purwanto, Aries/0000-0003-1386-7124;                                             | WAGENING UNIV & RES WUR; [UNKNOWN]                                               | [UNKNOWN]                      |         19 |        198 |       216 | nan           | nan  | ELSEVIER                       | RADARWEG 29, 1043 NX AMSTERDAM | AMSTERDAM        | J         | Purwanto A, 2021, SUSTAIN PROD CONSUMP, V25, P198, |       27 | Purwanto A 2021       | Europe                | nan  | nan                   | SUSTAINABLE PRODUCTION AND CON | SUSTAIN PROD CONSUM            | SUSTAIN PROD CONSUMP |  nan | Western Europe                 | Quantitative simulation of the | quantitative simulation of the | QUANTITATIVE_SIMULATION of the |    25 | Science Citation Index Expande | agricultural; analysis; approa | agricultural; analysis; approa | Science & Technology - Other T |        3 |       89 |       70 |   2021 |
| This paper presents a computer | this paper presents a computer | this_paper_presents a COMPUTER | Univ Putra Malaysia, Inst Agr & Food Policy Studies, Upm Serdang 43400, Selangor | nan     | Ecology                        | Kamal, Rowshon/AAD-7952-2020                                                     | hilsa fish; population dynamic | hilsa fish; population dynamic | hilsa fish; population dynamic | Bala BK          | B. K. Bala; Fatimah M. Arshad; | Bala BK; Arshad FM; Alias EF;  | Bala BK; Arshad FM; Alias EF;  | [Bala, B. K.; Arshad, Fatimah M.; Alias, E. F.; Sidique, S. F.; Noh, K. M.] Univ | Universiti Putra Malaysia; Uni |  nan | nan             | adults; bangladesh; carrying c | adults; bangladesh; carrying c | Bala, BK (corresponding author | nan                            | Bangladesh; Malaysia           | Malaysia       | BGD; MYS           | MYS               | nan             | 2026-04-25 | WoS        | JUL 10     | adult; adults; bangladesh; cap | adult; adults; bangladesh; cap | http://dx.doi.org/10.1016/j.ec | Article                    | 10.1016/j.ecolmodel.2014.03.01 | nan      | WOS:000336704000003 | bkbalabau@yahoo.com            | nan                            | nan                            | nan                            | AI2QV | Amin N., 2000, Asian Fish Sci. |    14 |  nan |  nan |  nan | system dynamics optimization;  | system dynamics optimization;  | system dynamics optimization;  | 0304-3800 | 1872-7026 | nan     | harvesting strategies; hilsa f | harvesting strategies; hilsa f | English | nan                            |     0 | computer model; hilsa fish; te | adults; bangladesh; carrying c | adults; bangladesh; carrying c | adult hilsa; causal loop; comp | sustainable exploitation; hils |        8 |      44 |     nan | nan                            | Kamal, Rowshon/0000-0002-8389-3363; Sidique, Shaufique/0000-0002-7545-2816       | BANGLADESH AGR UNIV; UNIV PUTRA MALAYS                                           | UNIV PUTRA MALAYS              |         12 |         19 |        30 | nan           | nan  | ELSEVIER SCIENCE BV            | PO BOX 211, 1000 AE AMSTERDAM, | AMSTERDAM        | J         | Bala BK, 2014, ECOL MODEL, V283, P19, DOI 10.1016/ |       28 | Bala BK 2014          | Asia                  | nan  | nan                   | ECOLOGICAL MODELLING           | ECOL MODEL                     | ECOL MODEL           |  nan | South-Eastern Asia; Southern A | Sustainable exploitation of hi | sustainable exploitation of hi | SUSTAINABLE_EXPLOITATION of HI |   283 | Science Citation Index Expande | adult; adults; bangladesh; cap | adult; adults; bangladesh; cap | Environmental Sciences & Ecolo |        0 |       48 |       17 |   2014 |
| In addition to the social econ | in addition to the social econ | in addition to the SOCIAL_ECON | Shandong Univ, Sch Environm Sci & Engn, Jinan 250100, Peoples R China; Beijing N | 3534    | Environmental Sciences; Water  | Tian, Yutong/KOC-6596-2024                                                       | water resources; system dynami | water resources; system dynami | water resources; system dynami | Wang BF          | Bofan Wang; Yutong Tian; Xuanj | Wang BF; Tian YT; Li XJ/1; Li  | Wang BF; Tian YT; Li XJ/1; Li  | [Wang, Bofan] Shandong Univ, Sch Environm Sci & Engn, Jinan 250100, Peoples R Ch | Shandong University; Beijing N |  nan | nan             | agricultural water; agricultur | agricultural water; agricultur | Li, CH (corresponding author), | nan                            | China                          | China          | CHN                | CHN               | nan             | 2026-04-25 | WoS        | DEC        | agricultural; agricultural wat | agricultural; agricultural wat | http://dx.doi.org/10.3390/w132 | Article                    | 10.3390/w13243534              | nan      | WOS:000742423900001 | bofanw180@gmail.com; 881055071 | nan                            | nan                            | nan                            | YG3WS | Ahmad S, 2004, J COMPUT CIVIL  |     5 |  nan |  nan |  nan | management; optimization       | management; optimization       | management; optimization       | nan       | 2073-4441 | 24      | chengde city; management; opti | chengde city; management; opti | English | Qin HH, 2019, WATER RESOUR MAN |     0 | social economy; agriculture; w | agricultural water; agricultur | 2017 data; addition; agricultu | agricultural water; aquatic en | analysis; prediction; sustaina |        4 |      27 |       1 | Green Submitted, gold          | Chunhui, Li/0000-0003-0067-4112                                                  | BEIJING NORM UNIV; SHANDONG UNIV; [UNKNOWN]                                      | SHANDONG UNIV                  |         23 |        nan |       nan | nan           | nan  | MDPI                           | MDPI AG, Grosspeteranlage 5, C | BASEL            | J         | Wang BF, 2021, WATER, V13, DOI 10.3390/w13243534   |       29 | Wang BF 2021          | Asia                  | nan  | nan                   | WATER                          | WATER                          | WATER-SUI            |  nan | Eastern Asia                   | Analysis and Prediction of Sus | analysis and prediction of sus | ANALYSIS and PREDICTION of SUS |    13 | Science Citation Index Expande | agricultural; agriculture; all | agricultural; agriculture; all | Environmental Sciences & Ecolo |        1 |       41 |        5 |   2021 |
| CONTEXT: Increasing rubber pri | context : increasing rubber pr | context : INCREASING_RUBBER_PR | Univ Queensland, Sch Agr & Food Sci, Gatton 4343, Australia; Malaysian Rubber Bo | 103491  | Agriculture, Multidisciplinary | Aziz, Ammar/C-6031-2016; Ali, Muhammad/AAT-6083-2021                             | agricultural production causal | agricultural production causal | agricultural production causal | Ali MF           | Muhammad Fadzli Ali; Siti Hawa | Ali MF; Sulong SH; Julius K; S | Ali MF; Sulong SH; Julius K; S | [Ali, Muhammad Fadzli; Julius, Kotir; Aziz, Ammar Abdul] Univ Queensland, Sch Ag | University of Queensland; Mala |  nan | nan             | agencies; agricultural product | agencies; agricultural product | Ali, MF (corresponding author) | nan                            | Australia; Malaysia            | Australia      | AUS; MYS           | AUS               | nan             | 2026-04-25 | WoS        | OCT        | additional; agencies; agents;  | additional; agencies; agents;  | http://dx.doi.org/10.1016/j.ag | Article                    | 10.1016/j.agsy.2022.103491     | SEP 2022 | WOS:000856084700001 | fadzli.ali@uq.net.au           | Malaysian Rubber Board         | Malaysian Rubber Board         | The authors wish to thank the  | 4Q4WO | Abd Razak S.B., 2016, PROCEEDI |     7 |  nan |  nan |  nan | hevea-brasiliensis; water reso | hevea-brasiliensis; water-reso | hevea-brasiliensis; water reso | 0308-521X | 1873-2267 | nan     | agricultural production causal | agricultural production causal | English | nan                            |     0 | increasing rubber price volati | agencies; and proposed plausib | 30_year period; additional in_ | 30_year period; abandon rubber | participatory system dynamics  |        5 |     109 |     nan | nan                            | Kotir, Julius H/0000-0001-8536-9146                                              | UNIV QUEENSL; [UNKNOWN]                                                          | UNIV QUEENSL                   |         23 |        nan |       nan | nan           | nan  | ELSEVIER SCI LTD               | THE BOULEVARD, LANGFORD LANE,  | OXFORD           | J         | Ali MF, 2022, AGRIC SYST, V202, DOI 10.1016/j.agsy |       30 | Ali MF 2022           | Asia; Oceania         | nan  | nan                   | AGRICULTURAL SYSTEMS           | AGRIC SYST                     | AGR SYST             |  nan | Australia and New Zealand; Sou | Using a participatory system d | using a participatory system d | using a PARTICIPATORY_SYSTEM_D |   202 | Science Citation Index Expande | additional; agencies; agents;  | additional; agencies; agents;  | Agriculture                    |        3 |       21 |        8 |   2022 |
| This article introduces an ini | this article introduces an ini | this_article_introduces an INI | Univ Catolica Popular Risaralda, Auxiliar, Pereira, Colombia; Univ Pontificia Bo | nan     | Engineering, Multidisciplinary | GALLON, Luciano/B-5167-2008                                                      | system dynamics; broadband; in | system dynamics; broadband; in | system dynamics; broadband; in | Bocanegra LAF    | Luis Alejandro Fletscher Bocan | Bocanegra LAF; Gallón L        | Bocanegra LAF; Gallón L        | [Fletscher Bocanegra, Luis Alejandro] Univ Catolica Popular Risaralda, Auxiliar, | Universidad Pontificia Bolivar |  nan | nan             | behavior; broad band access; b | behavior; broad band access; b | Bocanegra, LAF (corresponding  | nan                            | Colombia                       | Colombia       | COL                | COL               | nan             | 2026-04-25 | WoS        | JUN        | access; approach; band; behavi | access; approach; band; behavi | nan                            | Article                    | nan                            | nan      | WOS:000420587200008 | luisf@ucpr.edu.co; luciano.gal | nan                            | nan                            | nan                            | V6S9X | Amstad George, 2006, BUSINESS  |     0 |  nan |  nan |  nan | nan                            | nan                            | nan                            | 1900-8260 | nan       | 7       | broadband; internet access; mo | broadband; internet access; mo | Spanish | nan                            |     0 | initial version; project; broa | behavior; broad band access; b | approach; article; behavior; b | article introduces; broad band | market model; broad band acces |        2 |      16 |     nan | nan                            | nan                                                                              | UNIV CATOL POP RISARALDA; UNIV PONTIF BOLIV                                      | UNIV CATOL POP RISARALDA       |         14 |         84 |        97 | nan           | nan  | ASOC COLOMBIANA, FAC INGENIERI | CARRERA 68 D 25B-205 86 OFFICE | BOGOTA           | J         | Bocanegra LAF, 2009, REV EDUC ING, V4, P84         |       31 | Bocanegra LAF 2009    | Americas              | nan  | nan                   | REVISTA EDUCACION EN INGENIERI | REV EDUC ING                   | REV EDUC ING         |  nan | Latin America and The Caribbea | Market model for broad band ac | market model for broad band ac | MARKET_MODEL for BROAD_BAND_AC |     4 | Emerging Sources Citation Inde | access; approach; band; behavi | access; approach; band; behavi | Engineering                    |        0 |        0 |        0 |   2009 |
| In this study, using system dy | in this study , using system d | in this_study , using SYSTEM_D | Islamic Azad Univ, Rasht Branch, Ind Management Prod & Operat, Rasht, Iran; Univ | 111963  | Economics; Energy & Fuels; Env | amoozadkhalili, hossein/AAO-3508-2021; Amin-Tahmasbi, Hamzeh/HDM-9711-2022       | privatization; system dynamics | privatization; system dynamics | privatization; system dynamics | Nasirzadeh H     | Hossein Nasirzadeh; Hamzeh Ami | Nasirzadeh H; Amin-Tahmasbi H; | Nasirzadeh H; Amin-Tahmasbi H; | [Nasirzadeh, Hossein] Islamic Azad Univ, Rasht Branch, Ind Management Prod & Ope | Islamic Azad University; Unive |  nan | nan             | best  and  worst method; bwm t | best  and  worst method; bwm t | Amin-Tahmasbi, H (correspondin | nan                            | Iran                           | Iran           | IRN                | IRN               | nan             | 2026-04-25 | WoS        | JAN        | analysis; approach; approaches | analysis; approach; approaches | http://dx.doi.org/10.1016/j.en | Article                    | 10.1016/j.enpol.2020.111963    | nan      | WOS:000600550600007 | amintahmasbi@guilan.ac.ir      | nan                            | nan                            | nan                            | PH6WP | Acevedo R, 2019, The Quarterly |    11 |  nan |  nan |  nan | impact                         | impact                         | impact                         | 0301-4215 | 1873-6777 | nan     | best  and  worst method; impac | best  and  worst method; impac | English | nan                            |     0 | system dynamics approaches; mu | bwm technique; causal loop dia | approach; article; aspects; ba | bwm technique; causal loop dia | investment analysis; privatiza |        3 |      22 |     nan | nan                            | amoozadkhalili, hossein/0000-0001-7222-2233; Amin-Tahmasbi, Hamzeh/0000-0001-955 | ISLAM AZAD UNIV; UNIV GUILAN                                                     | ISLAM AZAD UNIV                |         11 |        nan |       nan | nan           | B    | ELSEVIER SCI LTD               | 125 London Wall, London, ENGLA | London           | J         | Nasirzadeh H, 2021, ENERGY POLIC, V148, DOI 10.101 |       32 | Nasirzadeh H 2021     | Asia                  | nan  | nan                   | ENERGY POLICY                  | ENERGY POLIC                   | ENERG POLICY         |  nan | Southern Asia                  | Investment analysis in privati | investment analysis in privati | INVESTMENT_ANALYSIS in PRIVATI |   148 | Science Citation Index Expande | analysis; approach; approaches | analysis; approach; approaches | Business & Economics; Energy & |        1 |       20 |       11 |   2021 |
